id	text	label
train_000000	với lợi thế toạ lạc ngay trung tâm thành phố, nên khi ở khách sạn icon 36 saigon đi đâu cũng dễ dàng. bên cạnh đó, chất lượng phòng đúng mong đợi, cách bài trí nội thất khá khang trang, dọn phòng ngăn nắp.	1
train_000001	thông qua mytour tôi có đặt phòng tại khách sạn icon 36 saigon làm diểm dừng chân cho cả nhà. sau khi ở đây tôi đánh giá mọi dịch vụ khá ổn từ phòng ốc sạch sẽ, thái độ nhân viên vui vẻ, thân thiện, vị trí gần trung tâm thuận tiện đi lại cũng như giá cả hợp lý. tôi hài lòng về nơi này.	1
train_000002	tôi đánh giá khách sạn icon 36 saigon này tốt. vị trí khách sạn ngay trung tâm thành phố nên thuận tiện đi lại, phòng sạch sẽ, tiện nghi, nhân viên tốt. nhìn chung, tôi không phàn nàn điều gì cả khi ở đây.	1
train_000003	vị trí khách sạn ngay trung tâm thành phố nên thuận tiện cho việc đi lại. phòng ốc sạch sẽ, tiện nghi, nhân viên nhiệt tình. tôi đánh giá khách sạn icon 36 saigon có chất lượng tốt. rất ok và tôi không phàn nàn gì nhiều.	1
train_000004	khi tôi nghỉ ngơi tại đây tôi rất thích. phòng ốc sạch sẽ, rộng rãi, thoáng mát. tiện nghi đầy đủ. cũng rất cám ơn thái độ phục vụ tận tình, hết sức tận tâm và niềm nở của các nhân viên ở đây. khách sạn nằm ở địa điểm đi lại dễ dàng mà giá cả hợp lí. nếu có lần sau thì tôi sẽ quay lại đây.	1
train_000005	khách sạn icon 36 saigon có chất lượng cũng được. các bạn nhân viên khách sạn có thái độ phục vụ khách hàng ổn. phòng ở được giữ gìn vệ sinh sạch sẽ và trang bị những tiện nghi, nội thất cần thiết đầy đủ.	1
train_000006	theo tôi đánh giá khách sạn này có chất lượng cũng được. những vật dụng, tiện nghi cần thiết được khách sạn cung cấp đầy đủ. cung cách nhân viên khách sạn phục vụ khách hàng tốt, vui vẻ, nhiệt tình. phòng ở giữ gìn vệ sinh chu đáo.	1
train_000007	tôi cảm thấy hài lòng khi chọn nghỉ ngơi tại khách sạn icon 36 saigon trong chuyến du lịch vừa qua. vì sau khi ở đây tôi thấy mọi thứ đều ok từ dịch vụ phòng ốc, tiện nghi vệ sinh đến nhân viên phục vụ dễ thương cũng như giá cả và vị trí ngay trung tâm thuận tiện đi lại. tôi không có gì để phàn nàn.	1
train_000008	khách sạn được xây dựng tại quận trung tâm của thành phố nên dễ dàng đi lại. giá cả tương xứng với chất lượng. phòng ở được vệ sinh sạch sẽ và trang bị tiện nghi đầy đủ. nhân viên có thái độ phục vụ khách hàng tốt.	1
train_000009		1
train_000010	phòng ốc tốt, sạch sẽ, đầy đủ tiện nghi, nhân viên cũng thân thiện và nhiệt tình. tôi thấy mọi thứ khá ổn.	1
train_000011	ở khách sạn icon 36 saigon khá tốt. căn phòng tôi ở gọn gàng, trang thiết bị hoạt động ổn định. họ phục vụ bữa sáng cũng ngon. vả lại, vị trí toạ lạc của khách sạn thuận tiện cho việc đi lại của cá nhân tôi.	1
train_000012	chất lượng khách sạn này mọi thứ đều ổn. và tôi không phàn nàn. vì điều gì cả. nhân viên nhiệt tình, thân thiện. phòng ốc được dọn dẹp vệ sinh gọn gàng và sạch sẽ, nội thất được bố trí tương đối đầy đủ tiện nghi.	1
